,clip,q,mia,acc,T,version,machine
0,0.1,0.0064,0.01242251999855711,0.2794,10.0,v8,becat
1,0.1,0.0064,0.01242251999855711,0.4027,10.0,v8,becat
2,0.1,0.0064,-0.0011006054440330039,0.3017,10.0,v8,becat
3,0.1,0.0064,-0.0016012813669738792,0.2079,10.0,v8,becat
4,0.1,0.0064,0.004290781417156246,0.3422,10.0,v8,becat
5,0.1,0.0064,0.0046889894861314695,0.4157,10.0,v8,becat
6,0.1,0.0064,0.006280237957150456,0.3071,10.0,v8,becat
7,0.1,0.0064,-0.003606495594111744,0.2214,10.0,v8,becat
8,0.1,0.0064,0.0015987213636970735,0.3751,10.0,v8,becat
9,0.1,0.0064,0.0007996801705642441,0.3436,10.0,v8,becat
10,0.1,0.0064,0.017250353406527672,0.4069,10.0,v8,becat
11,0.1,0.0064,-0.0005001250416822429,0.3817,20.0,v8,becat
12,0.1,0.0064,0.010346292054144267,0.37,20.0,v8,becat
13,0.1,0.0064,0.01666044089310717,0.3759,20.0,v8,becat
14,0.1,0.0064,0.006081470315867954,0.4247,20.0,v8,becat
15,0.1,0.0064,-0.010555513939516587,0.2827,20.0,v8,becat
16,0.1,0.0064,0.005484930230569745,0.2433,20.0,v8,becat
17,0.1,0.0064,0.011137744410456021,0.3204,20.0,v8,becat
18,0.1,0.0064,0.0132123314721349,0.3172,20.0,v8,becat
19,0.1,0.0064,0.0135083500247923,0.3952,20.0,v8,becat
20,0.1,0.0064,0.0003999200213268913,0.3446,20.0,v8,becat
21,0.1,0.0064,-0.0018016219466282088,0.271,20.0,v8,becat
22,0.1,0.0064,0.010445257861538604,0.3602,30.0,v8,becat
23,0.1,0.0064,-0.00030004500900199243,0.287,30.0,v8,becat
24,0.1,0.0064,0.019508466388043013,0.4808,30.0,v8,becat
25,0.1,0.0064,0.01705375456582762,0.4024,30.0,v8,becat
26,0.1,0.0064,-0.006722545760826811,0.2376,30.0,v8,becat
27,0.1,0.0064,0.019900661706336174,0.4683,30.0,v8,becat
28,0.1,0.0064,0.00876150566857267,0.276,30.0,v8,becat
29,0.1,0.0064,0.007868958378695197,0.4019,30.0,v8,becat
30,0.1,0.0064,0.011829751753577221,0.3729,30.0,v8,becat
31,0.1,0.0064,-0.0015011261262670914,0.2917,30.0,v8,becat
32,0.1,0.0064,0.011137744410456021,0.4338,30.0,v8,becat
33,0.1,0.0064,-0.010858743334875945,0.3486,40.0,v8,becat
34,0.1,0.0064,0.014691548742989682,0.3741,40.0,v8,becat
35,0.1,0.0064,0.010445257861538604,0.3994,40.0,v8,becat
36,0.1,0.0064,0.019998686506689123,0.365,40.0,v8,becat
37,0.1,0.0064,0.023618865598634027,0.4745,40.0,v8,becat
38,0.1,0.0064,0.01970458327433543,0.4113,40.0,v8,becat
39,0.1,0.0064,0.01143437762566317,0.3735,40.0,v8,becat
40,0.1,0.0064,0.004888034072775866,0.3012,40.0,v8,becat
41,0.1,0.0064,0.009554212804811711,0.3596,40.0,v8,becat
42,0.1,0.0064,0.01715205881756566,0.4942,40.0,v8,becat
43,0.1,0.0064,0.0037927982386962624,0.3163,40.0,v8,becat
44,0.1,0.0064,0.01764343517259528,0.3647,50.0,v8,becat
45,0.1,0.0064,0.005882663158155512,0.3455,50.0,v8,becat
46,0.1,0.0064,0.007968169649176881,0.2972,50.0,v8,becat
47,0.1,0.0064,0.011928570865273812,0.4242,50.0,v8,becat
48,0.1,0.0064,0.01616858116158369,0.3924,50.0,v8,becat
49,0.1,0.0064,0.010445257861538604,0.3884,50.0,v8,becat
50,0.1,0.0064,0.013014937077494544,0.3681,50.0,v8,becat
51,0.1,0.0064,0.021663639636026355,0.4601,50.0,v8,becat
52,0.1,0.0064,0.011137744410456021,0.3346,50.0,v8,becat
53,0.1,0.0064,0.005982071677547469,0.4079,50.0,v8,becat
54,0.1,0.0064,-0.004711079730119223,0.2588,50.0,v8,becat
55,0.1,0.0064,0.01242251999855711,0.3781,100.0,v8,becat
56,0.1,0.0064,0.01656208829897823,0.4186,100.0,v8,becat
57,0.1,0.0064,0.028004196409597344,0.5413,100.0,v8,becat
58,0.1,0.0064,0.009554212804811711,0.3744,100.0,v8,becat
59,0.1,0.0064,0.02273948696948934,0.4939,100.0,v8,becat
60,0.1,0.0064,0.015578029963318462,0.4739,100.0,v8,becat
61,0.1,0.0064,0.01380428097639708,0.3916,100.0,v8,becat
62,0.1,0.0064,0.0018981972830802655,0.3334,100.0,v8,becat
63,0.1,0.0064,0.021370025736192545,0.4977,100.0,v8,becat
64,0.1,0.0064,0.0014988761237359487,0.262,100.0,v8,becat
65,0.1,0.0064,0.023814178099254887,0.4236,100.0,v8,becat
66,0.1,0.0064,0.012126179797840555,0.4497,200.0,v8,becat
67,0.1,0.0064,0.0046889894861314695,0.3215,200.0,v8,becat
68,0.1,0.0064,0.02107632560191631,0.4584,200.0,v8,becat
69,0.1,0.0064,0.024692612590371414,0.4842,200.0,v8,becat
70,0.1,0.0064,0.006876303939432064,0.3303,200.0,v8,becat
71,0.1,0.0064,0.00767050630421974,0.2947,200.0,v8,becat
72,0.1,0.0064,0.012620031356102198,0.372,200.0,v8,becat
73,0.1,0.0064,0.015282623531156982,0.4289,200.0,v8,becat
74,0.1,0.0064,0.03256399087326258,0.513,200.0,v8,becat
75,0.1,0.0064,0.02273948696948934,0.5087,200.0,v8,becat
76,0.1,0.0064,0.015578029963318462,0.4447,200.0,v8,becat
77,0.1,0.0064,0.027225986253591527,0.5455,500.0,v8,becat
78,0.1,0.0064,0.010544213875671097,0.449,500.0,v8,becat
79,0.1,0.0064,0.0046889894861314695,0.4213,500.0,v8,becat
80,0.1,0.0064,0.014987129808248238,0.4534,500.0,v8,becat
81,0.1,0.0064,0.003992021269537457,0.4179,500.0,v8,becat
82,0.1,0.0064,0.006975613736425138,0.313,500.0,v8,becat
83,0.1,0.0064,-0.002503130218118477,0.3272,500.0,v8,becat
84,0.1,0.0064,0.002995508979798371,0.3411,500.0,v8,becat
85,0.1,0.0064,0.005087039048557209,0.345,500.0,v8,becat
86,0.1,0.0064,0.01833095668472342,0.4331,500.0,v8,becat
87,0.1,0.0064,0.01960652963891835,0.4889,500.0,v8,becat
88,0.1,0.0064,0.02078253918252841,0.5071,1000.0,v8,becat
89,0.1,0.0064,0.013607003406216947,0.4582,1000.0,v8,becat
90,0.1,0.0064,0.006280237957150456,0.4168,1000.0,v8,becat
91,0.1,0.0064,0.043921187057928086,0.5343,1000.0,v8,becat
92,0.1,0.0064,0.0032945669494301114,0.325,1000.0,v8,becat
93,0.1,0.0064,0.0135083500247923,0.3847,1000.0,v8,becat
94,0.1,0.0064,0.004589452333807224,0.3847,1000.0,v8,becat
95,0.1,0.0064,0.003493889254255838,0.3973,1000.0,v8,becat
96,0.1,0.0064,0.01980262729617973,0.4593,1000.0,v8,becat
97,0.1,0.0064,-0.0005001250416822429,0.4239,1000.0,v8,becat
98,0.1,0.0064,0.021467906615240975,0.4821,1000.0,v8,becat
